study,year,esID,yi,vi,group,time,mT,sdT,nT,mC,sdC,nC,formula,outcome,cont.type,last_treat_2_test_time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral,n_outcome,sign_.
Karim & Nassaji,2018,186,NA,NA,2,0,NA,NA,13,NA,NA,12,NA,1,0,2,3,0,1,1,2,2,1,99,1,1,1,1,1,5,0,1,1,1,99,1,0,99,0,0,1,88,2,1,0,1,TRUE
Karim & Nassaji,2018,187,NA,NA,1,1,NA,NA,14,NA,NA,12,NA,1,0,2,3,0,1,1,2,2,1,99,1,1,1,1,1,5,0,1,1,1,99,1,0,99,0,0,0,88,2,1,0,1,TRUE
Karim & Nassaji,2018,188,NA,NA,2,1,NA,NA,13,NA,NA,12,NA,1,0,2,3,0,1,1,2,2,1,99,1,1,1,1,1,5,0,1,1,1,99,1,0,99,0,0,1,88,2,1,0,1,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kassim & Ng,2014,189,-0.00905355481408922,0.0666673497237897,1,0,71.04,9.63,30,71.13,9.99,30,pcorrect,1,0,1,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0,1,FALSE
Kassim & Ng,2014,190,0.10567015597843,0.0667597181822042,2,0,72.17,9.43,30,71.13,9.99,30,pcorrect,1,0,1,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0,1,FALSE
Kassim & Ng,2014,191,0.824349615792945,0.0723296024088164,1,1,77.8,9.55,30,70.37,8.19,30,pcorrect,1,0,1,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0,1,FALSE
Kassim & Ng,2014,192,1.46895253589163,0.0846485129391872,2,1,81.77,7.09,30,70.37,8.19,30,pcorrect,1,0,1,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0,1,FALSE
Kassim & Ng,2014,193,0.909120066795247,0.0735541607987482,1,2,78.27,9.28,30,70.2,8.21,30,pcorrect,1,0,4,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0,1,FALSE
Kassim & Ng,2014,194,1.45252413921683,0.0842485531250634,2,2,81.3,6.81,30,70.2,8.21,30,pcorrect,1,0,4,2,99,1,2,2,2,1,99,1,99,99,1,0,5,0,1,1,2,0,0,1,99,2,2,1,88,99,99,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mubarak,2013,195,-0.527620906037534,0.140386336676306,1,0,0.395,0.28,17,0.545,0.272,13,pcorrectTunit,1,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,196,-0.16776523726043,0.136215692582059,1,0,0.1,0.046,17,0.093,0.032,13,pcorrectTunit,2,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,TRUE
Mubarak,2013,197,-0.22901471502408,0.1366207353298,1,0,53.7,24.26,17,59.15,21.59,13,pcorrectTunit,3,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,198,0.375217863960111,0.138093080425421,1,0,57.11,23.89,17,48.23,21.82,13,pcorrectTunit,4,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,199,-0.346613595899684,0.141494473213809,2,0,0.446,0.282,16,0.545,0.272,13,pcorrectTunit,1,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,200,-0.37738463012555,0.141878579665404,2,0,0.105,0.03,16,0.093,0.032,13,pcorrectTunit,2,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,TRUE
Mubarak,2013,201,0.208694309967015,0.140173996147432,2,0,63.43,18.5,16,59.15,21.59,13,pcorrectTunit,3,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,202,0.39340203475824,0.142091441767075,2,0,55.25,12.67,16,48.23,21.82,13,pcorrectTunit,4,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,203,0.404258170979615,0.138470350814904,1,1,0.62,0.237,17,0.516,0.267,13,pcorrectTunit,1,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,204,1.07828362050318,0.155124865772266,1,1,0.055,0.023,17,0.083,0.028,13,pcorrectTunit,2,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,TRUE
Mubarak,2013,205,0.137468189704267,0.136061564721184,1,1,76.05,19.04,17,73.46,17.34,13,pcorrectTunit,3,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,206,0.283480426290306,0.13708595886967,1,1,71.76,25.8,17,64.76,21.43,13,pcorrectTunit,4,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,207,-0.0603606439395711,0.139485894290952,2,1,0.499,0.279,16,0.516,0.267,13,pcorrectTunit,1,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,208,1.08363215316579,0.159668915601951,2,1,0.053,0.026,16,0.083,0.028,13,pcorrectTunit,2,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,TRUE
Mubarak,2013,209,0.0131253534030129,0.139426047180007,2,1,73.68,15.4,16,73.46,17.34,13,pcorrectTunit,3,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,210,0.53930627717566,0.144437753829991,2,1,75.87,18.82,16,64.76,21.43,13,pcorrectTunit,4,0,1,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,211,0.399498889509338,0.138406595713494,1,2,0.52,0.205,17,0.436,0.204,13,pcorrectTunit,1,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,212,-0.53224384258297,0.140467998134299,1,2,0.062,0.027,17,0.078,0.032,13,pcorrectTunit,2,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,213,0.00554440692731534,0.135747118675644,1,2,67.17,20.1,17,67.07,13.41,13,pcorrectTunit,3,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,214,0.15404841096718,0.1361421215502,1,2,63.76,19.25,17,61,14.66,13,pcorrectTunit,4,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0,4,FALSE
Mubarak,2013,215,0.375974092781996,0.141860258275546,2,2,0.513,0.195,16,0.436,0.204,13,pcorrectTunit,1,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,216,-0.754875228738883,0.149247846077621,2,2,0.056,0.025,16,0.078,0.032,13,pcorrectTunit,2,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,217,0.0472552262726342,0.139461577895664,2,2,67.75,14.43,16,67.07,13.41,13,pcorrectTunit,3,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
Mubarak,2013,218,0.367474641052916,0.141751311609576,2,2,65.62,9.84,16,61,14.66,13,pcorrectTunit,4,0,4,4,1,2,2,2,2,0,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0,4,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Munoz,2011,219,-0.319782537986253,0.107944927561678,1,0,13.02,7.62,25,10.76,5.54,15,NA,1,1,2,3,2,2,2,2,2,99,99,99,1,0,0,0,5,0,1,0,2,1,1,1,1,0,2,2,1,1,1,0,1,TRUE
Munoz,2011,220,0.00180682423816883,0.112121256237615,2,0,10.75,5.33,22,10.76,5.54,15,NA,1,1,2,3,2,2,2,2,2,99,99,99,1,0,0,0,5,0,1,0,2,1,1,1,1,0,2,1,88,1,1,0,1,TRUE
Munoz,2011,221,0.15356139287532,0.106961430433939,1,1,9.79,7.11,25,10.85,6.13,15,NA,1,1,2,3,2,2,2,2,2,99,99,99,1,0,0,0,5,0,1,0,2,1,1,1,1,0,2,2,1,1,1,0,1,TRUE
Munoz,2011,222,-0.118543118280576,0.112311110376505,2,1,11.51,4.94,22,10.85,6.13,15,NA,1,1,2,3,2,2,2,2,2,99,99,99,1,0,0,0,5,0,1,0,2,1,1,1,1,0,2,1,88,1,1,0,1,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nakazawa,2006,223,NA,NA,1,0,NA,NA,15,NA,NA,10,NA,1,2,4,3,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,0,88,1,1,0,1,TRUE
Nakazawa,2006,224,NA,NA,2,0,NA,NA,16,NA,NA,10,NA,1,2,4,3,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,2,1,1,1,0,1,TRUE
Nakazawa,2006,225,NA,NA,3,0,NA,NA,17,NA,NA,10,NA,1,2,4,3,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,15,88,1,1,0,1,TRUE
Nakazawa,2006,226,NA,NA,1,1,NA,NA,15,NA,NA,10,NA,1,2,4,3,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,0,88,1,1,0,1,TRUE
Nakazawa,2006,227,NA,NA,2,1,NA,NA,16,NA,NA,10,NA,1,2,4,3,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,2,1,1,1,0,1,TRUE
Nakazawa,2006,228,NA,NA,3,1,NA,NA,17,NA,NA,10,NA,1,2,4,3,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,15,88,1,1,0,1,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemati et al,2019,229,0.290709830086727,0.0700236550472096,1,0,39.18,4.29,27,37.7,5.58,31,TLU,1,2,2,3,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,1,0,3,2,0,88,1,1,0,1,FALSE
Nemati et al,2019,230,0.57263558681718,0.0694734190975641,2,0,40.86,5.3,29,37.7,5.58,31,TLU,1,2,2,3,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,1,0,3,2,1,88,1,1,0,1,FALSE
Nemati et al,2019,231,4.1192306653679,0.215571491850642,1,1,70.33,12.87,27,22.87,9.88,31,TLU,1,2,2,3,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,1,0,3,2,0,88,1,1,0,1,FALSE
Nemati et al,2019,232,1.93551690817257,0.0979593706520013,2,1,48.24,15.56,29,22.87,9.88,31,TLU,1,2,2,3,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,1,0,3,2,1,88,1,1,0,1,FALSE
Nemati et al,2019,233,3.97780021365226,0.205699364826717,1,2,57.59,12.66,27,16.41,7.47,31,TLU,1,2,3,3,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,1,0,3,2,0,88,1,1,0,1,FALSE
Nemati et al,2019,234,1.92477247066374,0.0976137320020273,2,2,35.48,11.76,29,16.41,7.47,31,TLU,1,2,3,3,0,1,2,3,1,0,0,0,1,1,1,0,77,1,1,0,99,0,99,1,0,3,2,1,88,1,1,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nusrat et al,2019,235,0.129451632726838,0.0801675772521564,1,0,1.92,0.7,25,2,0.5,25,perror,1,0,4,2,2,0,2,2,2,99,99,99,0,1,1,0,5,0,1,0,99,99,0,0,1,1,1,2,1,0,1,0,3,TRUE
Nusrat et al,2019,236,0.116652139123714,0.0801360772156213,1,0,1.88,0.67,25,1.96,0.68,25,perror,2,0,4,2,2,0,2,2,2,99,99,99,0,1,1,0,5,0,1,0,99,99,0,0,1,2,1,2,1,0,1,0,3,TRUE
Nusrat et al,2019,237,-0.290595827529414,0.080844459349775,1,0,1.56,0.77,25,1.36,0.57,25,perror,3,0,4,2,2,0,2,2,2,99,99,99,0,1,1,0,5,0,1,0,99,99,0,0,1,3,1,2,1,0,1,0,3,TRUE
Nusrat et al,2019,238,-0.0601174257485819,0.0800361410487863,1,2,1.96,0.73,25,1.92,0.57,25,perror,1,0,4,2,2,0,2,2,2,99,99,99,0,1,1,0,5,0,1,0,99,99,0,0,1,1,1,2,1,0,1,0,3,TRUE
Nusrat et al,2019,239,-0.11667774881428,0.0801361369706836,1,2,2.24,0.78,25,2.16,0.55,25,perror,2,0,4,2,2,0,2,2,2,99,99,99,0,1,1,0,5,0,1,0,99,99,0,0,1,2,1,2,1,0,1,0,3,TRUE
Nusrat et al,2019,240,1.01327143129581,0.0902671899348027,1,2,0.8,0.5,25,1.64,1.04,25,perror,3,0,4,2,2,0,2,2,2,99,99,99,0,1,1,0,5,0,1,0,99,99,0,0,1,3,1,2,1,0,1,0,3,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pariyanto & Cahyono,2016,241,-0.0981518181877212,0.160449085844681,1,0,7.52,0.78,13,7.61,0.99,12,perror,1,1,1,4,1,0,2,2,2,1,99,99,1,0,1,1,2,0,1,0,2,99,99,0,0,0,0,0,88,2,1,0,1,FALSE
Pariyanto & Cahyono,2016,242,0.746956493335978,0.171415290315145,1,1,8.53,0.71,13,7.79,1.17,12,perror,1,1,1,4,1,0,2,2,2,1,99,99,1,0,1,1,2,0,1,0,2,99,99,0,0,0,0,0,88,2,1,0,1,FALSE
Pariyanto & Cahyono,2016,243,-0.0836680197208079,0.16039641700689,1,2,7.8,1.04,13,7.9,1.27,12,perror,1,1,3,4,1,0,2,2,2,1,99,99,1,0,1,1,2,0,1,0,2,99,99,0,0,0,0,0,88,2,1,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parreno,2015,244,-0.0400753559717136,0.114402028312409,1,0,2.79,2.12,18,2.72,1.11,17,perror,1,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,245,0.234172573125686,0.11516246773881,1,0,2.07,1.6,18,2.45,1.57,17,perror,2,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,246,0.132176696547806,0.114628666097467,1,0,1.07,0.71,18,1.18,0.91,17,perror,3,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,247,0.218445122092752,0.115060774558264,1,0,1.36,0.6,18,1.53,0.9,17,perror,4,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,248,-0.448260374628581,0.139095562392544,2,0,3.26,1.25,13,2.72,1.11,17,perror,1,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,249,0.211613720912484,0.136492945782815,2,0,2.1,1.66,13,2.45,1.57,17,perror,2,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,250,-0.154378730334348,0.136143819541169,2,0,1.3,0.48,13,1.18,0.91,17,perror,3,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,251,0.174056924393007,0.136251536550327,2,0,1.4,0.39,13,1.53,0.9,17,perror,4,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,252,-0.373859318844055,0.110712323875096,3,0,3.4,2.19,20,2.72,1.11,17,perror,1,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,253,0.219038806277225,0.109471880744945,3,0,2.15,1.11,20,2.45,1.57,17,perror,2,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,254,-0.0801188002006427,0.108910272954272,3,0,1.24,0.54,20,1.18,0.91,17,perror,3,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,255,0.44210008976868,0.111464779268163,3,0,1.22,0.43,20,1.53,0.9,17,perror,4,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,256,0.391049144664183,0.116563648303642,1,1,1.83,1.77,18,2.49,1.51,17,perror,1,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,257,0.231322927105956,0.115143517775961,1,1,2.01,1.98,18,2.45,1.72,17,perror,2,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,258,0.767255957036168,0.122788823590284,1,1,1.03,0.5,18,1.65,1.01,17,perror,3,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,259,0.769682682480196,0.122842105420319,1,1,0.91,0.62,18,1.41,0.65,17,perror,4,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,1,88,99,1,0,4,TRUE
Parreno,2015,260,-0.530556034185364,0.140438101425016,2,1,3.33,1.58,13,2.49,1.51,17,perror,1,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,261,0.23317183222558,0.136652758057232,2,1,2.01,1.98,13,2.45,1.72,17,perror,2,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,262,0.550431393924491,0.140796184991802,2,1,1.15,0.68,13,1.65,1.01,17,perror,3,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,263,0.722208123061447,0.144439682551773,2,1,0.94,0.61,13,1.41,0.65,17,perror,4,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,0,88,99,1,0,4,TRUE
Parreno,2015,264,0.675513876420015,0.114990002347386,3,1,1.59,1.1,20,2.49,1.51,17,perror,1,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,265,1.58308111451627,0.142690364751468,3,1,0.52,0.36,20,2.45,1.72,17,perror,2,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,266,1.56425625839984,0.141889713762347,3,1,0.47,0.38,20,1.65,1.01,17,perror,3,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
Parreno,2015,267,1.41260139865146,0.135788971458684,3,1,0.51,0.6,20,1.41,0.65,17,perror,4,1,2,4,99,0,2,2,2,1,99,0,1,1,1,0,6,0,1,0,1,99,0,0,1,0,1,2,1,99,1,0,4,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pashazadeh,2017,268,0.238460880254601,0.0917434856637469,1,0,17.58,12.53,23,14.94,8.69,21,TLU,1,1,1,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,0,0,1,FALSE
Pashazadeh,2017,269,0.161451784899651,0.106785559647223,2,0,16.36,8.51,17,14.94,8.69,21,TLU,1,1,1,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,0,0,1,FALSE
Pashazadeh,2017,270,-0.230907411712068,0.110839564278285,3,0,13.01,7.44,16,14.94,8.69,21,TLU,1,1,1,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,1,0,1,FALSE
Pashazadeh,2017,271,1.27104878788736,0.109456001911225,1,1,33.41,15.65,23,17.14,7.9,21,TLU,1,1,1,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,0,0,1,FALSE
Pashazadeh,2017,272,0.484726990134696,0.109534159332983,2,1,23.64,17.6,17,17.14,7.9,21,TLU,1,1,1,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,0,0,1,FALSE
Pashazadeh,2017,273,0.941672262392706,0.122102110453639,3,1,28.03,14.68,16,17.14,7.9,21,TLU,1,1,1,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,1,0,1,FALSE
Pashazadeh,2017,274,0.514842525731765,0.0941093860602249,1,2,22.12,8.57,23,17.42,9.38,21,TLU,1,1,3,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,0,0,1,FALSE
Pashazadeh,2017,275,0.0808232824043229,0.106528529701583,2,2,18.19,9.26,17,17.42,9.38,21,TLU,1,1,3,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,0,0,1,FALSE
Pashazadeh,2017,276,-0.266600542139424,0.111079532065926,3,2,15.08,7.4,16,17.42,9.38,21,TLU,1,1,3,2,1,0,2,2,2,1,2,99,0,0,1,0,7,1,1,0,1,0,99,1,0,0,1,0,88,1,1,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polio & Fleck,1998,277,0.0663772580044948,0.0617037210710898,1,0,0.263,0.14,34,0.254,0.127,31,pcorrectTunit,1,0,2,4,0,1,1,2,2,99,99,1,1,0,1,0,6,0,1,0,99,1,1,2,99,0,0,99,0,99,1,0,2,FALSE
Polio & Fleck,1998,278,0.132126111076372,0.0618041162160742,1,0,0.208,0.127,34,0.192,0.111,31,NA,2,0,2,4,0,1,1,2,2,99,99,1,1,0,1,0,6,0,1,0,99,1,1,2,99,0,0,99,0,99,1,0,2,FALSE
Polio & Fleck,1998,279,0.0976156580797106,0.0617431278120293,1,1,0.311,0.132,34,0.296,0.171,31,pcorrectTunit,1,0,2,4,0,1,1,2,2,99,99,1,1,0,1,0,6,0,1,0,99,1,1,2,99,0,0,99,0,99,1,0,2,FALSE
Polio & Fleck,1998,280,0.0138611614553151,0.0616713071589105,1,1,0.249,0.127,34,0.235,1.44,31,NA,2,0,2,4,0,1,1,2,2,99,99,1,1,0,1,0,6,0,1,0,99,1,1,2,99,0,0,99,0,99,1,0,2,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rahimi,2009,281,0.135262062287362,0.0684420864056322,1,0,12.28,9.56,32,13.57,9.23,27,NA,1,1,3,3,1,1,2,2,2,1,99,99,99,1,1,0,2,0,0,0,2,99,99,0,99,0,0,2,0,1,1,0,1,TRUE
